#,Artist,Listeners,Daily +/-,Peak,PkListeners
1,Bruno Mars,130834997,-299300,1,151079821
2,Justin Bieber,124010016,-238407,1,146972758
3,The Weeknd,113138329,-205137,1,126192069
4,Rihanna,110858382,-37094,2,112668942
5,Shakira,102456119,248080,3,102456119
6,Michael Jackson,102452039,-348762,4,113091027
7,Taylor Swift,101097873,-133617,1,116229071
8,Bad Bunny,98440451,-76300,2,123934765
9,Lady Gaga,97821249,-264919,2,124637761
10,Ariana Grande,93789729,-182894,1,126970279
11,Coldplay,92165328,-49390,4,101505654
12,Drake,91691078,-96192,3,100057064
13,Katy Perry,91378116,58142,13,91378116
14,Pitbull,87590381,-69397,13,89612836
15,David Guetta,87269937,-115329,4,89315609
16,Ed Sheeran,83184365,-148608,2,102809026
17,Calvin Harris,80636909,-253324,13,81341228
18,Maroon 5,79355739,-120908,14,80678070
19,Billie Eilish,77768227,-176565,1,108297865
20,J Balvin,71841254,-177036,11,85751171
21,Eminem,70769545,-99462,5,86389533
22,Kanye West,69464860,-155501,6,78581428
23,Olivia Rodrigo,68682445,-256247,18,71483355
24,Sia,68307701,-101010,8,100120416
25,Dua Lipa,67636047,-310017,3,78673675
26,Kendrick Lamar,67361287,-174640,4,112091210
27,SZA,66357616,-26294,6,97852020
28,Black Eyed Peas,66171993,-40764,26,67173928
29,Daddy Yankee,65433355,1439,22,66859292
30,Harry Styles,64298416,-46043,13,72497079
31,Lana Del Rey,62635946,-26197,22,66553669
32,Sean Paul,62355870,-164036,31,64638835
33,Zara Larsson,61185225,-98065,23,71288935
34,Beyoncé,61118669,76137,6,78122541
35,Post Malone,60899909,-67869,3,98466468
36,Sabrina Carpenter,60885126,-163706,4,90844193
37,Tame Impala,59839006,-85838,31,64654298
38,Travis Scott,58806159,-23388,6,75557671
39,Chris Brown,58664811,-79445,25,64080293
40,Miley Cyrus,57740850,-98738,2,84140935
41,Justin Timberlake,56607424,24500,41,57620604
42,sombr,56552514,-123818,29,60589162
43,Dominic Fike,56443135,-88837,30,65163766
44,Madonna,55795478,-32121,44,56308481
45,Linkin Park,55184929,-119945,29,60369972
46,Shawn Mendes,54687361,-64735,45,54932702
47,Sam Smith,54520924,-109364,7,73972799
48,Arijit Singh,54373988,-34702,39,56255270
49,Adele,54348827,-12263,23,62764213
50,Burna Boy,54332489,438765,50,54332489
51,Doja Cat,53562956,-66741,5,76357864
52,Khalid,53546357,-25288,28,55253946
53,Future,53421697,-40098,22,65628348
54,Marshmello,53156601,-118032,11,68947085
55,Halsey,53097828,156389,45,54839229
56,Jennifer Lopez,53036586,-82974,47,54907241
57,Imagine Dragons,53008557,-141824,18,62801774
58,Elton John,52659388,-119770,16,74153795
59,KAROL G,52604368,-68874,21,63139763
60,Ellie Goulding,52341353,-177166,51,52846431
61,Arctic Monkeys,52284809,-13167,36,56618863
62,Shreya Ghoshal,52278272,35612,48,53470893
63,Olivia Dean,52046137,-92582,32,62143559
64,Rauw Alejandro,51500486,-56935,33,61676420
65,Queen,51250987,-235362,28,66924652
66,Fleetwood Mac,50897005,-110972,50,54188220
67,The Chainsmokers,50894432,-57723,44,52992550
68,Ozuna,50888096,-35926,40,53667513
69,Pritam,49998821,23394,60,50098183
70,Alicia Keys,49922289,10091,70,49922289
71,DJ Snake,49912262,-167583,42,59038890
72,Ne-Yo,49821153,-38795,68,50088935
73,JENNIE,49345559,-153339,42,56944814
74,Maluma,49017930,-121584,56,49502148
75,OneRepublic,48777202,-153819,23,64167172
76,Camila Cabello,48452704,-133672,57,49038539
