#,Artist,Listeners,Daily +/-,Peak,PkListeners,Date
13,Ariana Grande,84549279,111745,1,126970279,2026-05-09
13,Ariana Grande,84619211,69932,1,126970279,2026-05-10
13,Ariana Grande,84663874,44663,1,126970279,2026-05-11
13,Ariana Grande,84610084,-53790,1,126970279,2026-05-12
13,Ariana Grande,84669275,59191,1,126970279,2026-05-13
13,Ariana Grande,84770318,101043,1,126970279,2026-05-14
15,Ariana Grande,84741668,-28650,1,126970279,2026-05-15
15,Ariana Grande,84685934,-55734,1,126970279,2026-05-16
15,Ariana Grande,84776043,90109,1,126970279,2026-05-17
15,Ariana Grande,84702051,-73992,1,126970279,2026-05-18
16,Ariana Grande,84663303,-38748,1,126970279,2026-05-19
16,Ariana Grande,84718870,55567,1,126970279,2026-05-20
16,Ariana Grande,84649942,-68928,1,126970279,2026-05-21
16,Ariana Grande,84695167,45225,1,126970279,2026-05-22
16,Ariana Grande,84728774,33607,1,126970279,2026-05-23
16,Ariana Grande,84610863,-117911,1,126970279,2026-05-24
16,Ariana Grande,84577456,-33407,1,126970279,2026-05-25
15,Ariana Grande,84464762,-112694,1,126970279,2026-05-26
15,Ariana Grande,84338244,-126518,1,126970279,2026-05-27
15,Ariana Grande,84120869,-217375,1,126970279,2026-05-28
15,Ariana Grande,84967529,846660,1,126970279,2026-05-29
15,Ariana Grande,85203490,235961,1,126970279,2026-05-30
15,Ariana Grande,85483571,280081,1,126970279,2026-05-31
15,Ariana Grande,85753386,269815,1,126970279,2026-06-01
15,Ariana Grande,86021316,267930,1,126970279,2026-06-02
