Catégorie,Total,As lead,Solo,As feature (*),Date
Streams,66097581778,55130039379,40094693338,10967542399,2026-05-09
Daily,25017797,21586911,15267532,3430886,2026-05-09
Tracks,354,283,204,71,2026-05-09
Streams,66120364842,55149885277,40108829622,10970479565,2026-05-10
Daily,22922433,19853265,14137282,3069168,2026-05-10
Tracks,354,283,204,71,2026-05-10
Streams,66145407285,55171749346,40124403852,10973657939,2026-05-11
Daily,25067044,21777886,15546005,3289158,2026-05-11
Tracks,354,283,204,71,2026-05-11
Streams,66170482662,55193478314,40139917600,10977004348,2026-05-12
Daily,25132606,21829199,15544024,3303407,2026-05-12
Tracks,354,283,204,71,2026-05-12
Streams,66196576828,55216207735,40156257051,10980369093,2026-05-13
Daily,26051541,22625618,16308307,3425923,2026-05-13
Tracks,354,283,204,71,2026-05-13
Streams,66222242682,55238616996,40172470407,10983625686,2026-05-14
Daily,25957618,22513290,16244918,3444328,2026-05-14
Tracks,354,283,204,71,2026-05-14
Streams,66247707716,55260788666,40188366339,10986919050,2026-05-15
Daily,25609974,22171670,15895932,3438304,2026-05-15
Tracks,354,283,204,71,2026-05-15
Streams,66271927763,55281490342,40203110495,10990437421,2026-05-16
Daily,23877773,20599258,14712388,3278515,2026-05-16
Tracks,354,283,204,71,2026-05-16
Streams,66293812457,55300543630,40216825082,10993268827,2026-05-17
Daily,22122415,19149755,13746296,2972660,2026-05-17
Tracks,354,283,204,71,2026-05-17
Streams,66317876191,55321518499,40231827270,10996357692,2026-05-18
Daily,24099370,20888098,14973532,3211272,2026-05-18
Tracks,354,283,204,71,2026-05-18
Streams,66342614986,55343024281,40247257732,10999590705,2026-05-19
Daily,24786154,21505782,15430462,3280372,2026-05-19
Tracks,354,283,204,71,2026-05-19
Streams,66368864248,55366031297,40263952634,11002832951,2026-05-20
Daily,26311821,23111367,16726124,3200454,2026-05-20
Tracks,355,284,205,71,2026-05-20
Streams,66369534057,55366701106,40264622443,11005958383,2026-05-21
Daily,26981630,23781176,17395933,3222486,2026-05-21
Tracks,355,284,205,71,2026-05-21
Streams,66419817561,55410765489,40295925289,11009052072,2026-05-22
Daily,25426085,22190412,15882273,3235673,2026-05-22
Tracks,354,283,204,71,2026-05-22
Streams,66442979243,55430980742,40310371404,11011998501,2026-05-23
Daily,23280471,20215253,14446115,3065218,2026-05-23
Tracks,354,283,204,71,2026-05-23
Streams,66466137898,55449549017,40323638846,11016588881,2026-05-24
Daily,21377289,18568275,13267442,2809014,2026-05-24
Tracks,354,283,204,71,2026-05-24
Streams,66488567503,55469156886,40337658984,11019410617,2026-05-25
Daily,22544239,19607869,14020138,2936370,2026-05-25
Tracks,354,283,204,71,2026-05-25
Streams,66511785526,55489531698,40352238590,11022253828,2026-05-26
Daily,23381186,20375636,14579926,3005550,2026-05-26
Tracks,354,283,204,71,2026-05-26
