Rank,Trend,Track,Artist,Peak,Prev,Streak,Streams,Release Date,First entry date,First entry position,Total days on chart,Producers,Songwriters,Source,Image_URL
1,↑ 1,Dai Dai,"Shakira, Burna Boy",1,2,43,4603780,-,-,-,-,-,-,-,https://i.scdn.co/image/ab67616d00004851eb32c453cfffc9aa8c68ec7b
2,↑ 1,Beauty And A Beat,"Justin Bieber, Nicki Minaj",1,3,85,4432988,-,-,-,-,-,-,-,https://i.scdn.co/image/ab67616d000048512140b92e595009a27891cf15
3,↑ 1,Billie Jean,Michael Jackson,1,4,190,4294542,-,-,-,-,-,-,-,https://i.scdn.co/image/ab67616d000048514121faee8df82c506fc88925
1,NEW,petal,Ariana Grande,1,-,1,7822894,July 31 2026,July 31 2026,1,1,"Ariana Grande, ILYA, Max Martin","Ariana Grande, Ilya Salmanzadeh, Max Martin",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
2,↑ 1,hate that i made you love me,Ariana Grande,1,3,64,7685008,May 29 2026,May 29 2026,1,64,"Ariana Grande, ILYA, Max Martin","Ariana Grande, Ilya Salmanzadeh, Max Martin",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
3,NEW,kiss me,Ariana Grande,3,-,1,6256639,July 31 2026,July 31 2026,3,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
5,NEW,stay,Ariana Grande,5,-,1,5297903,July 31 2026,July 31 2026,5,1,"Ariana Grande, ILYA, Max Martin","Ariana Grande, Ilya Salmanzadeh, Max Martin",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
6,NEW,oh well,Ariana Grande,6,-,1,5198225,July 31 2026,July 31 2026,6,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
7,NEW,big feelings,Ariana Grande,7,-,1,4821310,July 31 2026,July 31 2026,7,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
8,NEW,like i do,Ariana Grande,8,-,1,4772203,July 31 2026,July 31 2026,8,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
9,NEW,freak,Ariana Grande,9,-,1,4566216,July 31 2026,July 31 2026,9,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
10,NEW,never get over me,Ariana Grande,10,-,1,4156908,July 31 2026,July 31 2026,10,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
12,NEW,bad thing (bunny hop),Ariana Grande,12,-,1,4010155,July 31 2026,July 31 2026,12,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
13,NEW,warning signs (interlude),Ariana Grande,13,-,1,3982011,July 31 2026,July 31 2026,13,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
15,NEW,"nowhere, nobody",Ariana Grande,15,-,1,3624597,July 31 2026,July 31 2026,15,1,"Ariana Grande, ILYA","Ariana Grande, Ilya Salmanzadeh",Republic Records,https://static.fnac-static.com/multimedia/Images/FR/NR/81/b7/35/20297601/1541-1/tsp20260513115042/petal.jpg
104,↓ 9,we can't be friends (wait for your love),Ariana Grande,1,95,59,1503001,March 8 2024,March 8 2024,5,841,"Max Martin, ILYA, Ariana Grande","Ariana Grande, Ilya Salmanzadeh, Max Martin",Republic Records,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
118,↓ 1,Into You,Ariana Grande,63,117,13,1440894,April 1 2016,January 1 2017,63,173,"Max Martin, ILYA","Ariana Grande, Ilya Salmanzadeh, Max Martin, Savan Kotecha, Alexander Kronlund",Universal Records,https://m.media-amazon.com/images/I/71rtbFVgVuL.jpg
149,↑ 6,Love Me Harder,Ariana Grande,149,155,13,1345689,April 13 2015,April 8 2026,200,42,"Ali Payami, Peter Svensson","Ahmad Balshe, Max Martin, Savan Kotecha, Abel Tesfaye, Ali Payami, Peter Svensson",Universal Records,https://imusic.b-cdn.net/images/item/original/527/0602537939527.jpg?ariana-grande-2014-my-everything-cd&class=scaled&v=1406816989




